AFDMorder,Filter#,Tin#,Tin Weight,Tin+filter dry,Tin+filter combusted
1,FA087,441,1.6251,1.8753,1.8644
2,FA086,462,1.6313,1.8726,1.8627
3,FA088,463,1.6108,1.7990,1.7927
4,FA089,463,1.6108,1.7935,1.7854
5,FA090,468,1.6202,1.7761,1.7701
6,FA091,459,1.6092,1.7710,1.7646
7,FA092,475,1.6326,1.8138,1.8056
8,FA093,479,1.6363,1.7971,1.7910
9,FA094,446,1.6057,1.7940,1.7856
10,FA095,447,1.6131,1.7971,1.7910
11,FA096,431,1.6059,1.8165,1.8071
12,FA097,443,1.6281,1.8426,1.8332
13,FA098,448,1.6110,1.7660,1.7598
14,FA099,470,1.6258,1.7795,1.7735
15,FA100,435,1.6112,1.8980,1.8838
16,FA101,453,1.6189,1.8889,1.8760
17,FA102,432,1.6335,1.7888,1.7837
18,FA103,450,1.6196,1.7766,1.7710
19,FA085,472,1.6118,1.8412,1.8306
20,FA044,474,1.6180,1.7629,1.7582
21,FA045,412,1.6236,1.7646,1.7606
22,FA046,462,1.6142,1.7596,1.7546
23,FA047,485,1.6422,1.7803,1.7765
24,FA048,490,1.6488,1.7895,1.7848
25,FA049,402,1.6538,1.7990,1.7945
26,FA050,418,1.6563,1.8604,1.8511
27,FA051,406,1.6205,1.7612,1.7573
28,FA052,407,1.6506,1.8326,1.8253
29,FA053,405,1.6308,1.8218,1.8121
30,FA054,445,1.6023,1.8665,1.8543
31,FA055,489,1.6229,1.8518,1.8422
32,FA056,433,1.6296,1.7597,1.7559
33,FA057,486,1.6270,1.7739,1.7690
34,FA058,460,1.6139,1.7644,1.7591
35,FA059,439,1.6143,1.7536,1.7497
36,FA060,430,1.6354,1.7785,1.7733
37,FA061,400,1.6257,1.7676,1.7624
38,FA062,415,1.6196,1.7289,1.7260
39,FA063,456,1.6102,1.7149,1.7120
40,FA064,457,1.6111,1.7345,1.7310
41,FA065,434,1.6504,1.8017,1.7964
42,FA066,478,1.6399,1.8538,1.8457
43,FA067,420,1.6132,1.8602,1.8498
44,FA068,442,1.6295,1.8446,1.8333
45,FA069,477,1.6350,1.8372,1.8272
46,FA070,484,1.6318,1.7803,1.7747
47,FA071,451,1.6094,1.7583,1.7532
48,FA072,469,1.6039,1.7976,1.7887
49,FA073,427,1.6457,1.8212,1.8139
50,FA074,414,1.6258,1.8557,1.8438
51,FA075,483,1.6265,1.8397,1.8294
52,FA076,466,1.6174,1.8265,1.8153
53,FA077,425,1.6431,1.8533,1.8434
54,FA078,408,1.6482,1.8746,1.8633
55,FA079,458,1.6063,1.8139,1.8044
56,FA080,428,1.6483,1.8077,1.8020
57,FA081,467,1.6415,1.7965,1.7904
58,FA082,423,1.6464,1.8290,1.8217
59,FA083,421,1.6429,1.8426,1.8325
60,FA084,471,1.6152,1.8982,1.8826
61,FA001,480,1.6407,1.8746,1.8631
62,FA002,409,1.6350,1.8508,1.8408
63,FA003,403,1.6203,1.7746,1.7686
64,FA004,438,1.5992,1.7542,1.7472
65,FA005,426,1.6241,1.8020,1.7935
66,FA006,404,1.6569,1.8290,1.8219
67,FA007,422,1.6373,1.7893,1.7839
68,FA008,488,1.6158,1.7970,1.7843
69,FA009,473,1.6235,1.7728,1.7680
70,FA010,464,1.6212,1.7739,1.7689
71,FA011,481,1.6229,1.8728,1.8618
72,FA012,429,1.6505,1.8970,1.8872
73,FA013,416,1.6471,1.8136,1.8078
74,FA014,487,1.6278,1.8024,1.7957
75,FA015,413,1.6588,1.7827,1.7793
76,FA016,417,1.6397,1.7659,1.7624
77,FA017,410,1.6413,1.8450,1.8358
78,FA018,449,1.6138,1.7959,1.7881
79,FA019,461,1.6105,1.7534,1.7490
80,FA020,454,1.6041,1.7571,1.7523
81,FA021,419,1.6221,1.7637,1.7596
82,FA022,436,1.6248,1.7517,1.7488
83,FA023,465,1.6039,1.7489,1.7439
84,FA024,440,1.6313,1.7712,1.7676
85,FA025,476,1.6396,1.7583,1.7559
86,FA026,482,1.6471,1.7666,1.7639
87,FA027,424,1.6527,1.8099,1.8045
88,FA028,437,1.6159,1.7566,1.7525
89,FA029,401,1.6461,1.7574,1.7556
90,FA030,444,1.6249,1.7495,1.7469
91,FA031,455,1.6135,1.7553,1.7509
92,FA032,186,1.6195,1.7528,1.7495
93,FA033,187,1.6335,1.7869,1.7813
94,FA034,188,1.6409,1.7922,1.7864
95,FA035,189,1.6484,1.8055,1.7996
96,FA036,190,1.6416,1.8096,1.8029
97,FA037,191,1.6512,1.8651,1.8544
98,FA038,182,1.6414,1.8249,1.8166
99,FA039,193,1.6317,1.8194,1.8103
100,FA040,194,1.6367,1.8090,1.8015
101,FA041,195,1.6562,1.8151,1.8091
102,FA042,196,1.6458,1.7904,1.7857
103,FA043,197,1.6474,1.7782,1.7751
200,FA134,445,1.6023,1.8261,1.8140
201,FA152,446,1.6057,1.7613,1.7558
202,FA165,447,1.6146,1.8723,1.8579
203,FA163,448,1.6110,1.8239,1.8161
204,FA167,449,1.6157,1.8488,1.8336
205,FA168,450,1.6222,1.9654,1.9469
206,FA169,451,1.6155,1.9881,1.9534
207,FA210,452,1.6334,1.8315,1.8236
208,FA207,453,1.6206,1.8579,1.8441
209,FA209,454,1.6045,1.7977,1.7907
210,FA208,455,1.6168,1.8879,1.8717
211,FA173,456,1.6068,1.8067,1.7987
212,FA206,457,1.6089,1.7939,1.7866
213,FA172,458,1.6078,1.8569,1.8440
214,FA203,459,1.6087,1.7827,1.7756
215,FA204,460,1.6131,1.8034,1.7949
216,FS057,461,1.6117,1.8045,1.7976
217,FS052,462,1.6137,1.7722,1.7681
218,FS058,463,1.6144,1.8267,1.8165
219,FA205,464,1.6247,1.9216,1.9025
220,FA138,465,1.6041,1.8308,1.8191
221,FA137,466,1.6207,1.7840,1.7777
222,FA135,400,1.6273,1.8460,1.8344
223,FA151,401,1.6459,1.8365,1.8277
224,FA149,403,1.6205,1.8165,1.8064
225,FA146,404,1.6582,1.8295,1.8226
226,FA147,405,1.6322,1.7901,1.7839
227,FA145,406,1.6223,1.7456,1.7429
228,FA144,407,1.6509,1.7725,1.7692
229,FA141,408,1.6480,1.8444,1.8357
230,FA150,409,1.6378,1.8170,1.8089
231,FA142,410,1.6427,1.8288,1.8192
232,FA136,411,1.6323,1.8101,1.8022
233,FA139,412,1.6240,1.9090,1.8921
234,FA140,413,1.6583,1.8268,1.8193
235,FA170,424,1.6536,1.9204,1.9035
236,FA143,425,1.6434,1.8502,1.8399
237,FA155,426,1.6243,1.8521,1.8409
238,FA154,427,1.6461,1.8810,1.8746
239,FA153,428,1.6512,1.7885,lost
240,FA198,429,1.6517,1.8792,1.8700
241,FA197,430,1.6357,2.0358,2.0084
242,FA199,431,1.6051,1.7698,1.7635
243,FA200,432,1.6351,1.8262,1.8170
244,FA201,433,1.6250,1.8363,1.8282
245,FA202,434,1.6476,1.8946,1.8827
246,FA148,435,1.6137,1.8878,1.8714
247,FA190,436,1.6250,1.8307,1.8222
248,FA194,468,1.6237,2.1517,2.0225
249,FA188,469,1.6088,1.7804,1.7743
250,FA161,470,1.6264,1.8410,1.8303
251,FA164,471,1.6157,1.8001,1.7915
252,FA157,472,1.6121,1.7624,1.7581
253,FA166,473,1.6230,1.7764,1.7719
254,FA105,474,1.6204,1.8149,1.8000
255,FA162,475,1.6326,1.9457,1.9277
256,FA160,476,1.6396,1.9131,1.8959
257,FA158,477,1.6311,2.0167,1.9919
258,FA159,478,1.6426,1.9236,1.9087
259,FA193,479,1.6359,1.8579,1.8462
260,FA119,441,1.6267,1.9488,1.9320
261,FA132,442,1.6292,1.7295,1.7272
262,FA120,443,1.6282,1.7825,1.7752
263,FA109,444,1.6268,1.7800,1.7737
264,FA125,437,1.6184,1.7811,1.7744
265,FA122,438,1.6001,1.8029,1.7933
266,FA121,439,1.6142,1.8536,1.8396
267,FA117,440,1.6313,1.8445,1.8338
268,FA123,186,1.6220,1.7857,1.7776
269,FA111,187,1.6342,1.7607,1.7568
270,FA114,188,1.6416,1.8732,1.8501
271,FA116,189,1.6499,2.0090,1.9825
272,FA133,190,1.6447,1.7403,1.7384
273,FA156,191,1.6533,1.9158,1.8969
274,FA104,192,1.6428,1.7994,1.7924
275,FA106,193,1.6320,1.7998,1.7928
276,FA112,194,1.6389,1.8989,1.8813
277,FA113,195,1.6573,1.8552,1.8456
278,FA129,196,1.6487,2.0785,2.0669
279,FA126,197,1.6510,1.8064,1.8014
280,FA107,120,1.6882,1.8297,1.8245
281,FA131,121,1.7422,1.9195,1.9112
282,FA128,122,1.6579,1.9697,1.9356
283,FA130,123,1.6684,1.8695,1.8295
284,FA124,124,1.6843,1.9339,1.9191
285,FA127,129,1.7208,1.8739,1.8680
286,FA192,115,1.6455,1.8757,1.8657
287,FA195,117,1.7428,1.9287,1.9213
288,FA191,415,1.6201,1.8879,1.8672
289,FA108,416,1.6483,1.8390,1.8259
290,FA115,417,1.6392,1.8390,1.8303
291,FA110,418,1.6593,1.7988,1.7940
292,FA189,419,1.6223,2.0740,2.0391
293,FA171,420,1.6121,1.8465,1.8370
294,FA187,421,1.6444,1.9069,1.8962
300,FA118,131,1.7489,1.8631,1.8606
301,FA174,132,1.7280,1.8339,1.8318
302,FA175,133,1.6558,1.7740,1.7703
303,FA176,134,1.6434,1.7650,1.7625
304,FA177,262,1.7209,1.8842,1.8776
305,FA178,263,1.6423,1.7836,1.7789
306,FA179,264,1.6603,1.7853,1.7806
307,FA180,265,1.6520,1.7802,1.7772
308,FA181,266,1.6547,1.7748,1.7731
309,FA182,276,1.6816,1.7982,1.7768
310,FA183,277,1.6478,1.7658,1.7641
311,FA184,278,1.6605,1.7678,1.7666
312,FA185,482,1.6452,1.7549,1.7537
313,FA186,483,1.6266,1.7334,1.7330
314,FA211,484,1.6326,1.7390,1.7372
315,FA212,484,1.6326,1.7390,1.7372
316,FA213,486,1.6223,1.7341,1.7265
317,FA214,487,1.6279,1.7281,1.7276
318,FA215,424,1.6553,1.7628,1.7611
319,FA216,438,1.6008,1.7032,1.7018
320,FA217,53,1.6400,1.7472,1.7452
321,FA218,56,1.6542,1.7587,1.7567
322,FA219,59,1.6609,1.7659,1.7640
323,FA220,52,1.6499,1.7493,1.7484
324,FA221,60,1.6588,1.7691,1.7669
325,FA222,57,1.6600,1.7634,1.7622
326,FA223,41,1.6539,1.7600,1.7587
327,FA224,45,1.7513,1.8552,1.8534
328,FA225,37,1.6460,1.7629,1.7604
329,FA226,66,1.6940,1.7934,1.7915
330,FA227,267,1.6574,1.7568,1.7557
331,FA228,214,1.6538,1.7518,1.7506
332,FA229,213,1.6453,1.7610,1.7585
333,FA230,65,1.6538,1.7590,1.7575
334,FA231,63,1.6738,1.7797,1.7779
335,FA232,64,1.6729,1.7789,1.7776
336,FA233,38,1.6465,1.7450,1.7444
337,FA234,46,1.6696,1.7678,1.7669
338,FA235,42,1.7174,1.8184,1.8168
339,FA236,39,1.6423,1.7410,1.7398
340,FA237,69,1.6665,1.7726,1.7707
341,FA238,70,1.6590,1.7634,1.7615
342,FA239,88,1.6927,1.7964,1.7951
343,FA240,126,1.6964,1.7989,1.7972
344,FA241,68,1.6638,1.7835,1.7794
345,FA242,148,1.6157,1.7307,1.7279
346,FA243,150,1.6017,1.7053,1.7039
347,FA244,147,1.6603,1.7636,1.7619
348,FA245,145,1.6511,1.7566,1.7548
349,FA246,165,1.6326,1.7334,1.7323
350,FA247,143,1.6591,1.7682,1.7666
351,FA248,140,1.6507,1.7585,1.7563
352,FA249,228,1.7166,1.8300,1.8277
353,FA250,235,1.6421,1.7511,1.7486
354,FA251,230,1.6938,1.8025,1.8006
355,FA252,215,1.6352,1.7404,1.7379
356,FA253,216,1.6243,1.7296,1.7266
357,FA254,219,1.7289,1.8374,1.8352
358,FA255,203,1.6839,1.7840,1.7824
359,FA256,218,1.6670,1.7642,1.7632
360,FA257,229,1.7238,1.8324,1.8299
361,FA258,239,1.6572,1.7602,1.7588
362,FA259,238,1.7220,1.8228,1.8201
363,FA260,237,1.6724,1.7719,1.7702
364,FA261,236,1.6570,1.7664,1.7631
365,FA262,201,1.6445,1.7603,1.7576
366,FA263,470,1.6267,1.7633,1.7588
367,FA264,471,1.6155,1.7304,1.7268
368,FA265,136,1.6766,1.7834,1.7800
369,FA266,184,1.6422,1.7429,1.7414
370,FA267,481,1.6238,1.7273,1.7254
371,FA268,199,1.6585,1.7608,1.7586
372,FA269,135,1.6326,1.7315,1.7302
373,FA270,181,1.6314,1.7296,1.7281
374,FA271,141,1.6679,1.7848,1.7815
375,FA272,142,1.6677,1.7787,1.7758
376,FA273,154,1.6368,1.7426,1.7401
377,FA274,177,1.6330,1.7394,1.7374
378,FA275,180,1.6381,1.7929,1.7853
379,FA276,178,1.6266,1.7664,1.7612
380,FA284,87,1.6509,1.7495,1.7487
381,FA285,62,1.6900,1.7908,1.7899
382,FA286,61,11.6486,1.7560,1.7455
383,FA287,51,1.6665,1.7628,1.7630
384,FA288,50,1.6474,1.7442,1.7439
385,FA289,49,1.6535,1.7500,1.7498
386,FA290,55,1.6575,1.7606,1.7599
387,FA291,54,1.6536,1.7526,1.7522
388,FA292,67,1.6641,1.7664,1.7655
389,FA293,43,1.7304,1.8338,1.8331
390,FA294,40,1.6452,1.7765,1.7736
391,FA295,48,1.6385,1.7507,1.7488
392,FA296,47,1.6474,1.7764,1.7729
393,FA297,208,1.7183,1.8396,1.8367
394,FA298,206,1.6583,1.7603,1.7594
395,FA299,207,1.6547,1.7530,1.7524
396,FA300,205,1.7016,1.8393,1.8359
397,FA301,179,1.6242,1.7530,1.7506
398,FA302,217,1.6432,1.7541,1.7521
399,FA303,211,1.6408,1.7482,1.7463
400,FA304,212,1.6584,1.7546,1.7545
401,FA305,86,1.6449,1.7418,1.7411
